book_id,text_reviews_count,country_code,is_ebook,average_rating,description,format,link,url,image_url,ratings_count,work_id,title,title_without_series
9495428,1,US,true,3.83,"One of the greatest plays of all time, the compelling tragedy of the tormented young prince of Denmark continues to capture the imaginations of modern audiences worldwide. Confronted with evidence that his uncle murdered his father, and with his mother's infidelity, Hamlet must find a means of reconciling his longing for oblivion with his duty as avenger. The ghost, Hamlet's feigned madness, Ophelia's death and burial, the play within a play, the ""closet scene"" in which Hamlet accuses his mother of complicity in murder, and breathtaking swordplay are just some of the elements that make Hamlet an enduring masterpiece of the theater.",Paperback,https://www.goodreads.com/book/show/9495428-dark-sons,https://www.goodreads.com/book/show/9495428-dark-sons,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,2360399,Dark Sons,Dark Sons
17729612,1,US,true,4.0,"Free online poetry.
From Random House's Boldtype.
Excerpted from The Voice of the Poet: W.H. Auden by W.H. Auden.",ebook,https://www.goodreads.com/book/show/17729612-the-more-loving-one,https://www.goodreads.com/book/show/17729612-the-more-loving-one,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,13,24801816,The More Loving One,The More Loving One
35288488,24,US,true,4.02,"One of the greatest plays of all time, the compelling tragedy of the tormented young prince of Denmark continues to capture the imaginations of modern audiences worldwide. Confronted with evidence that his uncle murdered his father, and with his mother's infidelity, Hamlet must find a means of reconciling his longing for oblivion with his duty as avenger. The ghost, Hamlet's feigned madness, Ophelia's death and burial, the play within a play, the ""closet scene"" in which Hamlet accuses his mother of complicity in murder, and breathtaking swordplay are just some of the elements that make Hamlet an enduring masterpiece of the theater.",Paperback,https://www.goodreads.com/book/show/35288488-soft-thorns,https://www.goodreads.com/book/show/35288488-soft-thorns,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,123,56651094,soft thorns,soft thorns
24820659,1,US,true,4.18,"Escritos con exactitud impecable e implacable, los poemas de Iras y no volveras transfiguran los desastres del tiempo para situarlos en la luz memoriosa del lenguaje. Desaliento y exaltacion, nobleza y esperanza, compromiso con la vida y con el idioma.",Paperback,https://www.goodreads.com/book/show/24820659-iras-y-no-volveras-you-will-go-and-not-come-back,https://www.goodreads.com/book/show/24820659-iras-y-no-volveras-you-will-go-and-not-come-back,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,3277858,Iras y no volveras / You will go and not come back,Iras y no volveras / You will go and not come back
18858148,31,US,true,4.38,"What elevates 'teaching my mother how to give birth', what gives the poems their disturbing brilliance, is Warsan Shire's ability to give simple, beautiful eloquence to the veiled world where sensuality lives in the dominant narrative of Islam; reclaiming the more nuanced truths of earlier times - as in Tayeb Salih's work - and translating to the realm of lyric the work of the likes of Nawal El Saadawi. As Rumi said, ""Love will find its way through all languages on its own""; in 'teaching my mother how to give birth', Warsan's debut pamphlet, we witness the unearthing of a poet who finds her way through all preconceptions to strike the heart directly. Warsan Shire is a Kenyan-born Somali poet and writer who is based in London. Born in 1988, she is an artist and activist who uses her work to document narratives of journey and trauma. Warsan has read her work internationally, including recent readings in South Africa, Italy and Germany, and her poetry has been translated into Italian, Spanish and Portuguese.",Paperback,https://www.goodreads.com/book/show/18858148-teaching-my-mother-how-to-give-birth,https://www.goodreads.com/book/show/18858148-teaching-my-mother-how-to-give-birth,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,496,18606097,Teaching My Mother How to Give Birth (mouthmark series Book 10),Teaching My Mother How to Give Birth (mouthmark series Book 10)
25384853,1,US,true,4.19,"The Black Butterfly is a symbol of transformation and rebirth after death. Drake wrote this book for those who have lost someone in death and in life. This book is a collection of memories and experiences Drake lived after the death of one of his brothers. He promised he would write him a few words after he failed to complete the task while his brother was alive.
This book is everything... this book is for all who are breathing and for all who are no longer here.
This book is for you.",ebook,https://www.goodreads.com/book/show/25384853-black-butterfly,https://www.goodreads.com/book/show/25384853-black-butterfly,https://images.gr-assets.com/books/1429400125m/25384853.jpg,7,45134610,Black Butterfly,Black Butterfly
24940289,1,US,true,4.16,"In celebration of the centenary of May Swenson's birth, The Library of America presents a one-volume edition of all of the poems that Swenson published in her lifetime--from her first collection Another Animal (1954) to the innovative shaped poems of Iconographs (1970) to her final work In Other Words (1987)--as well as a selection of previously uncollected work. The collection reveals the sweeping compass of Swenson's curiosity: nature poems display her keen observation of wildlife; exuberant and erotic love poems celebrate beauty and passion; place poems record her travels to the American Southwest, France, and Italy and her residence in New York City and Sea Cliff, Long Island; verse ""analyses"" investigate baseball, wave motion, the DNA molecule, bronco busting, James Bond movies, and the first walk on the moon. Swenson was an inveterate reviser: poems in earlier volumes were frequently reworked for inclusion in later volumes, such as To Mix with Time (1963) and New and Selected Things Taking Place (1978). While preserving the order of publication, this volume presents the author's final or definitive version. Substantive textual variants and title changes are detailed in the notes to the volume.",ebook,https://www.goodreads.com/book/show/24940289-collected-poems,https://www.goodreads.com/book/show/24940289-collected-poems,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1,21536880,Collected Poems,Collected Poems
26848169,2,US,true,4.71,"A journey into darkness and back to the light. The Moon makes it look so easy. In Moon Full of Moons, Kat Lehmann skillfully paints a journey from happiness lost to happiness found. This beautifully organized collection of poems is sequenced with the Moon's phases, which provide a touchstone for personal transformation. Musical, honest, and accessible, these poems create an inspirational and powerful body of work. The delicate, rich imagery transports the reader from enchanting and whimsical songs of childhood innocence through a struggle in the darkness to the powerful decision to shift the balance toward a new happiness. In these pages, she carries the reader through the wonder of beauty and language, an imaginative sailing on the Crescent Moon, and the subtle internal changes that lead to overcoming obstacles and emotional survival. Kat Lehmann demonstrates a mastery of patient observation and an openness to the teachings of nature - both internal and external - that are contained in the smallest of moments. The highly personal is described in terms of the universal. The result is tender, uplifting, insightful, and challenging. It is self-help expressed as poetry, with an impassioned call to embrace the meditative, find acceptance, and live.",Paperback,https://www.goodreads.com/book/show/26848169-moon-full-of-moons,https://www.goodreads.com/book/show/26848169-moon-full-of-moons,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2,44841828,Moon Full of Moons: Poetry of Transformation,Moon Full of Moons: Poetry of Transformation
17824924,4,US,true,4.31,"One of the greatest plays of all time, the compelling tragedy of the tormented young prince of Denmark continues to capture the imaginations of modern audiences worldwide. Confronted with evidence that his uncle murdered his father, and with his mother's infidelity, Hamlet must find a means of reconciling his longing for oblivion with his duty as avenger. The ghost, Hamlet's feigned madness, Ophelia's death and burial, the play within a play, the ""closet scene"" in which Hamlet accuses his mother of complicity in murder, and breathtaking swordplay are just some of the elements that make Hamlet an enduring masterpiece of the theater.",Kindle Edition,https://www.goodreads.com/book/show/17824924-fireflies,https://www.goodreads.com/book/show/17824924-fireflies,https://images.gr-assets.com/books/1366113773m/17824924.jpg,12,57116224,Fireflies,Fireflies
10589071,1,US,true,4.67,"One of the greatest plays of all time, the compelling tragedy of the tormented young prince of Denmark continues to capture the imaginations of modern audiences worldwide. Confronted with evidence that his uncle murdered his father, and with his mother's infidelity, Hamlet must find a means of reconciling his longing for oblivion with his duty as avenger. The ghost, Hamlet's feigned madness, Ophelia's death and burial, the play within a play, the ""closet scene"" in which Hamlet accuses his mother of complicity in murder, and breathtaking swordplay are just some of the elements that make Hamlet an enduring masterpiece of the theater.",Paperback,https://www.goodreads.com/book/show/10589071-marpessa,https://www.goodreads.com/book/show/10589071-marpessa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,6,15496476,Marpessa,Marpessa
